index,percent_missing
case_id,0.0
assignmentdate_238D,90.86983064041011
assignmentdate_4527235D,92.33723165182249
assignmentdate_4955616D,95.225981621832
birthdate_574D,59.4881224358137
contractssum_5085716L,89.51472732652839
dateofbirth_337D,7.6499057632378
dateofbirth_342D,97.56743859948443
days120_123L,7.6499057632378
days180_256L,7.6499057632378
days30_165L,7.6499057632378
days360_512L,7.6499057632378
days90_310L,7.6499057632378
description_5085714M,0.0
education_1103M,0.0
education_88M,0.0
firstquarter_103L,7.6499057632378
for3years_128L,97.56650556223492
for3years_504L,97.56650556223492
for3years_584L,97.56650556223492
formonth_118L,97.56650556223492
formonth_206L,97.56650556223492
formonth_535L,97.56650556223492
forquarter_1017L,97.56650556223492
forquarter_462L,97.56650556223492
forquarter_634L,97.56650556223492
fortoday_1092L,97.56650556223492
forweek_1077L,97.56650556223492
forweek_528L,97.56650556223492
forweek_601L,97.56650556223492
foryear_618L,97.56650556223492
foryear_818L,97.56650556223492
foryear_850L,97.56650556223492
fourthquarter_440L,7.6499057632378
maritalst_385M,0.0
maritalst_893M,0.0
numberofqueries_373L,7.6499057632378
pmtaverage_3A,90.43043674140739
pmtaverage_4527227A,92.33723165182249
pmtaverage_4955615A,95.21185277205367
pmtcount_4527229L,92.33723165182249
pmtcount_4955617L,95.21185277205367
pmtcount_693L,90.24269631770184
pmtscount_423L,61.836243965248364
pmtssum_45A,61.836243965248364
requesttype_4525192L,55.12997208885714
responsedate_1012D,52.01522716791205
responsedate_4527233D,55.992165152924805
responsedate_4917613D,85.01062329554088
riskassesment_302T,96.43053271095306
riskassesment_940T,96.43046606543524
secondquarter_766L,7.6499057632378
thirdquarter_1082L,7.6499057632378
